"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"379","Putnam Woolen Corporation","Connecticut","06-339",NA,"2426","1",NA
"380","Wauregan-Quinebaugh","Connecticut","06-363",NA,NA,NA,NA
"381","'Borough of Groton Water and","Connecticut","06-512",NA,"155472","2480","6234240"
"382","""Jewett City Electric Light Plant","Connecticut","06-523","64639",NA,"1368","1323380"
"383","""Third Taxing District of the City","Connecticut","06-545","123009","95148",NA,"3482400"
"384","*City of Norwich Gas and","Connecticut","06-556","2820470","899960","8818","1638050"
"385","The South Nor walk Electric","Connecticut","06-560","980332","284989","4242","7063380"
"386","Delaware Power & Light Company","Delaware","07-015","16339310","4794483","43582","251954287"
"387","Eastern Shore Public Service","Delaware","07-030","3548818","731328",NA,NA
"388","Lincoln & Ellendale Electric Co.","Delaware","07-040","32820","13537","363","24650"
"389","""•Clayton Municipal Light &","Delaware","07-510",NA,NA,"15000",NA
"390","*City of Dover Light & Water","Delaware","07-521",NA,"171602","2500",NA
"391","'""Lewes Board of Public Works","Delaware","07-532",NA,"40574","57",NA
"392","*Middletown Light and Water","Delaware","07-543","1e+05","26818",NA,NA
"393","""City of Milford","Delaware","07-554","387590","103767","1800",NA
"394","•New Castle Board of Water and","Delaware","07-565","8878","56371","19","1431800"
"395","""Council of Newark","Delaware","07-576","120000","99309","1410","3200000"
"396","*City of Seaford Light & Power","Delaware","07-584","298000","79632","1024",NA
"397","*Town of Smyrna","Delaware","07-587","55200","4429","600","1e+05"
"398","Potomac Electric Power Company","District of columbia","08-025","88027080",NA,NA,NA
"399","Boca Grande Light & Power Co.","Florida","09-011","21981","27814","180","344390"
"400","Empire Service Co.","Florida","09-015","39061","6904","135",NA
"401","Everglades Railway Light &","Florida","09-020","173906","15061","112",NA
"402","Florida Power & Light Company","Florida","09-029","136312793","14464013",NA,"2289000"
"403","Florida Power Corporation","Florida","09-038","24835962","4124189",NA,"19760310"
"404","Florida Public Service Company","Florida","09-047","14710084","1798510","17348","3201200"
"405","Florida Public Utilities Company","Florida","09-056","1066065","213366","2740","5100"
"406","Glades Power and Light Company","Florida","09-061",NA,NA,NA,NA
"407","Gulf Power Company","Florida","09-065","17683833","1613365","19509","66697119"
"408","The Key West Electric Company","Florida","09-074","967355","234319","3321",NA
"409","Power & Ice, Inc.","Florida","09-095",NA,"5500","2",NA
"410","Tampa Electric Company","Florida","09-119","15673829","4442676","45380","24619350"
"411","Yankeetown Utilities","Florida","09-130","5700","298",NA,NA
"412","Brooks-Scanlon Corporation","Florida","09-220",NA,"17833",NA,NA
"413","Indiantown Development","Florida","09-260","5000","1","47",NA
"414","Newport Industries, Inc.","Florida","09-280","100000","22900",NA,NA
"415","Putnam Lumber Company","Florida","09-292",NA,NA,NA,NA
"416","J. H. Sheip Lumber Company","Florida","09-303",NA,NA,NA,NA
"417","International Paper Company","Florida","09-314",NA,"77149","2",NA
"418","*City of Alachua","Florida","09-511","60000","11186","179","72824"
"419","*City of Bartow","Florida","09-517","55516811940","129988","1990",NA
"420","'City of Blountstown","Florida","09-523",NA,"16591","350","271650"
"421","*Bushnell Electric Light, Water &","Florida","09-529",NA,"9490","165",NA
"422","*Fort Meade Electric Department","Florida","09-535","58612","6931","680",NA
"423","*City of Fort Pierce","Florida","09-541","855151","209568","2172",NA
"424","'Gainesville Municipal Water,","Florida","09-547",NA,"354482","3752",NA
"425","*Green Cove Springs Electric","Florida","09-553",NA,"21680","294",NA
"426","* Homestead Power and Light","Florida","09-560",NA,"41343","46255",NA
"427","""City of Jacksonville Beach","Florida","09-572","152555","118144","1507","3947500"
"428","•hissinunee Utility Department","Florida","09-578","214562","76756","888",NA
"429","'Lake Helen Municipal Plant","Florida","09-584",NA,NA,NA,NA
"430","*City of Lake Worth","Florida","09-590","081728","191117","3289",NA
"431","'Lakeland Light & Water","Florida","09-597","2135542","619482","7308",NA
"432","*City of Leesburg, Municipal","Florida","09-603","256138","118741","1562","4029900"
"433","*Moorc Haven Light & Water","Florida","09-609","40640","13436",NA,NA
"434","*Town of Mount Dora","Florida","09-615","87631","40894","612","1005900"
"435","""City of Newberry, Board","Florida","09-621","30000","7845","120","187900"
"436","*City of New Smyrna Beach","Florida","09-627",NA,NA,"1450",NA
"437","*City of Ocala— Dept. of Public","Florida","09-634","401768","244337","2892","8156900"
"438","•""Orlando Utilities Commission","Florida","09-640","3590668","1041698","11034",NA
"439","Town of Polk City","Florida","09-646",NA,NA,NA,NA
"440","•Quitu-y Municipal Electric &","Florida","09-652","91687",NA,"1153",NA
"441","*Town of River Junction","Florida","09-658","85000","18566","425",NA
"442","*St. Cloud Utilities Commission","Florida","09-664","149000",NA,"1200",NA
"443","*City of St. Petersburg,","Florida","09-670","640963","115971",NA,NA
"444","*City of Sebring","Florida","09-677","750000","72000","1100",NA
"445","*Starke Light and Water Plant","Florida","09-683",NA,NA,NA,NA
"446","•City of Tallahassee","Florida","09-689","673000","242000","4527","13088000"
"447","*City of Vero Beach Municipal","Florida","09-695","381063","92899","1332",NA
"448","*Wauchula Light and Water","Florida","09-701",NA,"4548","634",NA
"449","*City of Williston","Florida","09-708","74540","2121","212","568100"
"450","*Choctawatchee Cooperative, Inc.","Florida","09-823",NA,NA,NA,NA
"451","Clay Electric Cooperative","Florida","09-825","497391","41171","1053",NA
"452","* Kscambia River Electric","Florida","09-850","12566","564","404","43"
"453","*Sumter Electric Cooperative,","Florida","09-952","313645","35712","951","620570"
"454","*Suwannee Valley Electric Coop","Florida","09-955",NA,NA,NA,"138577"
"455","Coastal Public Service Company","Georgia","10-023",NA,NA,NA,NA
"456","'Georgia Power Company","Georgia","10-045","269095308","27630062","226123","849193010"
"457","Georgia Power and Light","Georgia","10-056","4336683","1068285","12460","42892842"
"458","R. D. Howser","Georgia","10-071",NA,NA,NA,NA
"459","Savannah Electric and Power","Georgia","10-100","15177088","2081550","23758",NA
"460","South Carolina Power Company","Georgia","10-122",NA,"29648","1",NA
"461","Toccoa Power Company","Georgia","10-145",NA,NA,NA,NA
"462","Warwick Electric Co.","Georgia","10-166",NA,NA,NA,NA
"463","Bibb Manufacturing Co.","Georgia","10-223",NA,NA,"600",NA
"464","Brunswick Pulp & Paper Company","Georgia","10-227","6e+05","7889","1",NA
"465","Callaway Mills","Georgia","10-231",NA,NA,NA,NA
"466","Covington Mills","Georgia","10-233",NA,NA,NA,NA
"467","Exposition Cotton Mills Co.","Georgia","10-236","331532",NA,NA,NA
"468","Fulton Bag & Cotton Mills","Georgia","10-237",NA,NA,"1",NA
"469","Georgia Marble Co.","Georgia","10-244",NA,NA,NA,NA
"470","B. F. Goodrich Company","Georgia","10-248",NA,NA,NA,NA
"471","Hercules Powder Company","Georgia","10-259",NA,NA,NA,NA
"472","Juliette Milling Co.","Georgia","10-266",NA,NA,NA,NA
"473","Pepperell Manufacturing Company","Georgia","10-272","8e+05","3360","1",NA
"474","Pepperton Cotton Mills","Georgia","10-273",NA,NA,"140",NA
"475","Rabun Land and Water Company","Georgia","10-278",NA,NA,NA,NA
"476","Thomaston Cotton Mills","Georgia","10-280",NA,"1853","32",NA
"477","Trion Co.","Georgia","10-283","103796","8126","797",NA
"478","*Acworth Water & Light","Georgia","10-510","50000","18936","381","708000"
"479","*Adel Light & Water","Georgia","10-513","37361","12363",NA,"697700"
"480","*City of Albany","Georgia","10-516","476200","297371","4261","11525150"
"481","*City of Barnesville","Georgia","10-519",NA,"38036","920",NA
"482","*Blakely Water & Light","Georgia","10-522","150000","30994","632","1905600"
"483","""Town of Brinson, Water &","Georgia","10-525",NA,NA,"48",NA
"484","*City of Buford","Georgia","10-528",NA,"17461","805","532805"
"485","""Cairo Light & Water Department","Georgia","10-531",NA,"51805","814","2188800"
"486","""City of Calhoun","Georgia","10-534","49109","44892","874","1608800"
"487","'Camilla Water and Light","Georgia","10-537",NA,"35842","425","1694600"
"488","""City of Cartersville","Georgia","10-540",NA,NA,"1400",NA
"489","*Electric Power Board of","Georgia","10-541",NA,"159692",NA,NA
"490","*College Park Electric","Georgia","10-543",NA,NA,NA,NA
"491","""Commerce Water and Light","Georgia","10-546","489658","39878","782","1458700"
"492","*City of Covington","Georgia","10-549",NA,"76202","1094","3165300"
"493","*Crisp County Power","Georgia","10-552","1638332","229130","2228",NA
"494","*Dalton Water, Light and","Georgia","10-555","339485","208338","3323","1.1e+07"
"495","*City of Doerun Water &","Georgia","10-558","10000","8000",NA,"197600"
"496","""City of Douglas","Georgia","10-561","260674","92328","982","3317700"
"497","*Town of Dudley","Georgia","10-564",NA,NA,NA,NA
"498","""•Light and Water Department,","Georgia","10-567","438266","174569","2892","8361600"
"499","*Elberton Water & Light","Georgia","10-570",NA,"128190","1381","374000"
"500","•Ellaville Electric & Water","Georgia","10-573",NA,"14641","253","360000"
"501","*Fairburn light & Water Plant","Georgia","10-576",NA,"11220",NA,"384700"
"502","•Fitzgerald Water, Light &","Georgia","10-579","198726","104760","1841","4627600"
"503","*City of Forsyth","Georgia","10-582",NA,NA,NA,NA
"504","*Fort Valley Board of Water","Georgia","10-585",NA,"21168","896",NA
"505","*Grantville Water and Light","Georgia","10-588",NA,"5422","232","214950"
"506","""Griffin Light, Water and","Georgia","10-591",NA,NA,NA,NA
"507","*City of Hampton","Georgia","10-594","6000","7000","179","270000"
"508","*City of Hogansville","Georgia","10-597",NA,NA,NA,NA
"509","*Town of Iron City","Georgia","10-601",NA,NA,NA,"43960"
"510","""Jackson Water & Light","Georgia","10-603",NA,NA,NA,NA
"511","*City of La Fayette","Georgia","10-606","95244","44201","1257",NA
"512","*City of La Grange","Georgia","10-609","309927","238274","3997","9872000"
"513","*City of Lawrenceville","Georgia","10-612","40000","17250","590","864000"
"514","Town of Mansfield","Georgia","10-615","6000","3743",NA,"143000"
"515","*Marietta Board of Lights","Georgia","10-618","118848","161730","225","820560"
"516","*Monroe Water & Light","Georgia","10-624",NA,NA,NA,NA
"517","H'ity of Monticello","Georgia","10-627","30000","19194","400","835200"
"518","*Moultrie Light & Power","Georgia","10-630",NA,NA,"169012","6908800"
"519","*Newnan Water & Light","Georgia","10-633","89672","81406","1335","2610400"
"520","*City of Norcross","Georgia","10-637","15000","8070","282","39299"
"521","""Oxford Water & Light System","Georgia","10-640",NA,NA,NA,NA
"522","*Palmetto Municipal Light Plant","Georgia","10-643","25000",NA,"248",NA
"523","*Plains Municipal Water &","Georgia","10-646",NA,NA,"110",NA
"524","*City of Quitman","Georgia","10-649","411133","64099","895","3246"
"525","*Sandersville Water and Light","Georgia","10-652","3e+05",NA,"500",NA
"526","'•Sylvania Light and Water","Georgia","10-655","10658","33499","553",NA
"527","*City of Sylvester","Georgia","10-658",NA,"24673","500",NA
"528","Tennessee Valley Authority","Georgia","10-659",NA,"40100","1",NA
"529","•< in of Thomaston Water &","Georgia","10-661",NA,"75997","1440","2704000"
"530","•City of Thomasville Water &","Georgia","10-664","906545",NA,"3349",NA
"531","'Washington Electric Department","Georgia","10-667","102000","43602","600","1562000"
"532","*City of West Point","Georgia","10-670","234884","69167","7","2304000"
"533","*Town of Whigham","Georgia","10-673",NA,NA,NA,"132000"
"534","*The Altamaha Electric Member","Georgia","10-805","297798","34272","1038","746230"
"535","*Amicalola Electric Membership","Georgia","10-808",NA,NA,NA,NA
"536","*Blue Ridge Electric Association,","Georgia","10-815",NA,"11787","842","552150"
"537","*Canoochee Electric Membership","Georgia","10-819","168273","15521","532","182880"
"538","*The Carroll Electric Member","Georgia","10-822","315662","44991","1887","736800"
"539","""The Central Georgia Electric","Georgia","10-824","438972","58680","1567","944110"
"540","""Cobb County Rural Electric","Georgia","10-826","236599","28348","1102","862910"
"541","""The Colquitt County Rural","Georgia","10-827","834104","70086","2441","1288084"
"542","*Crisp Farmers Cooperative","Georgia","10-829","66188",NA,"80",NA
"543","*Douglas County Electric Mem","Georgia","10-835","358096","3935","1843","681080"
"544","•Excelsior Electric Membership","Georgia","10-840","304636","35159","125","623180"
"545","*Flint Electric Membership","Georgia","10-846","476806","69948","1873","1083240"
"546","*Forsyth County Electric","Georgia","10-850","258820","22416","1492","261000"
"547","*Grady County Electric","Georgia","10-860","301818","28044","954","47140"
"548","""Habersham Electric Member","Georgia","10-864","148337","14920","688","230840"
"549","*Hart County Electric","Georgia","10-868","420358","13952","1718","656100"
"550","*Irwin County Electric Member","Georgia","10-880","278308","29278","824","603420"
"551","* Jackson Electric Membership","Georgia","10-884","633917","57233","1922","651700"
"552","""Jefferson County Electric","Georgia","10-888","436473","30645","1324","458480"
"553","*Lamar Electric Membership","Georgia","10-898","243157","21590","863","32738"
"554","*The Little Ocmulgee Electric","Georgia","10-901","28114","2343","86","38928"
"555","*Middle Georgia Electric","Georgia","10-906",NA,NA,NA,NA
"556","*Mitchell County Electric","Georgia","10-910","5592","45403","1948","795660"
"557","*North Georgia Electric","Georgia","10-918","909253","136962","5367","8200847"
"558","*Ocmulgee Electric Membership","Georgia","10-923","174326","19817","633","359640"
"559","*The Oconee Electric","Georgia","10-924","145174","7099",NA,"26680"
"560","""The Okefenoke Rural Electric","Georgia","10-926","169998",NA,"394",NA
"561","'Planters Electric Membership","Georgia","10-928","272649","36173","719","622620"
"562","*The Kayle Electric Membership","Georgia","10-938","206116","20920","725","375300"
"563","*The Satilla Rural Electric","Georgia","10-944","890000","78496","2439","1324460"
"564","•""Slash Pine Electric Membership","Georgia","10-947",NA,NA,NA,NA
